feature,importance_gain,importance_split
team_margin_5,615.5645551681519,100
opp_margin_5,554.1454699039459,90
delta_margin_5,504.9794099330902,76
opp_win_pct_before_game,413.1732814311981,64
delta_win_pct,377.0275113582611,61
abs_spread,349.5452709197998,58
team_win_pct_before_game,266.5026478767395,41
delta_recent_win_pct_3,162.3154706954956,25
opp_recent_win_pct_3,82.64299893379211,13
team_recent_win_pct_3,63.52374887466431,12
opp_rest,52.053600788116455,10
team_rest,45.41302013397217,8
team_is_3in4,31.884419918060303,5
opp_is_3in4,15.060469627380371,2
delta_rest,10.871360301971436,2
opp_is_b2b,5.492420196533203,1
is_altitude_away,5.341320037841797,1
is_altitude_home,5.195499897003174,1
team_is_b2b,0.0,0
