feature,importance_gain,importance_split
opp_pts_against_5,762.4357507228851,114
delta_win_pct,729.0970993041992,100
opp_win_pct_before_game,687.9210333824158,106
team_win_pct_before_game,685.3955111503601,96
delta_margin_5,557.5515587329865,82
delta_pts_for_5,479.441858291626,69
team_pts_against_5,456.22656989097595,62
opp_pts_for_5,445.96191215515137,63
opp_margin_5,417.65400981903076,61
abs_spread,394.9208595752716,62
team_pts_for_5,337.1755909919739,46
team_margin_5,275.96110916137695,43
delta_rest,251.54671144485474,38
opp_rest,186.9562692642212,29
team_rest,176.36027097702026,26
team_recent_win_pct_3,109.40919923782349,17
delta_recent_win_pct_3,94.84703016281128,13
team_is_3in4,73.72817993164062,12
opp_recent_win_pct_3,30.343860149383545,4
is_altitude_away,22.243730068206787,4
opp_is_3in4,19.168389797210693,3
team_is_b2b,0.0,0
opp_is_b2b,0.0,0
is_altitude_home,0.0,0
