season,date,regular,playoffs,away,home,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,moneyline_away,moneyline_home,h2_spread,h2_total,id_spread,id_total,spread_home,margin_home,margin_away,ats_result_raw,ats_home_cover,ats_away_cover,ats_label,is_home_favored,abs_spread,total_points_scored,p_home,p_away,p_diff
2019,2018-10-16,True,False,phi,bos,87,105,21,21,24,21,0,21,26,30,28,0,home,-4.5,211.5,170.0,-200.0,1.0,106.0,1.0,0,-4.5,18,-18,13.5,1,0,home_cover,1,4.5,192,0.6666666666666666,0.37037037037037035,-0.2962962962962963
2019,2018-10-16,True,False,okc,gs,100,108,23,24,32,21,0,31,26,26,25,0,home,-12.0,220.5,711.0,-1100.0,4.5,108.5,0.0,0,-12.0,8,-8,-4.0,0,1,away_cover,1,12.0,208,0.9166666666666666,0.12330456226880394,-0.7933621043978627
2019,2018-10-17,True,False,mem,ind,83,111,16,23,19,25,0,27,29,20,35,0,home,-7.5,204.5,263.0,-325.0,1.0,99.0,1.0,0,-7.5,28,-28,20.5,1,0,home_cover,1,7.5,194,0.7647058823529411,0.27548209366391185,-0.48922378868902927
2019,2018-10-17,True,False,mil,cha,113,112,36,31,26,20,0,23,31,29,29,0,away,3.0,222.0,-165.0,144.0,2.5,114.0,0.0,1,3.0,-1,1,2.0,1,0,home_cover,0,3.0,225,0.4098360655737705,0.6226415094339622,0.21280544386019173
2019,2018-10-17,True,False,mia,orl,101,104,31,20,27,23,0,25,29,25,25,0,away,2.5,208.0,-135.0,115.0,3.0,103.0,0.0,0,2.5,3,-3,5.5,1,0,home_cover,0,2.5,205,0.46511627906976744,0.574468085106383,0.1093518060366156
2019,2018-10-17,True,False,bkn,det,100,103,29,22,25,24,0,24,27,32,20,0,home,-6.0,213.0,211.0,-255.0,4.0,110.5,0.0,0,-6.0,3,-3,-3.0,0,1,away_cover,1,6.0,203,0.7183098591549296,0.3215434083601286,-0.396766450794801
2019,2018-10-17,True,False,atl,ny,107,126,24,25,35,23,0,23,49,34,20,0,home,-4.0,216.5,148.0,-170.0,4.0,106.0,1.0,1,-4.0,19,-19,15.0,1,0,home_cover,1,4.0,233,0.6296296296296297,0.4032258064516129,-0.22640382317801677
2019,2018-10-17,True,False,cle,tor,104,116,25,22,28,29,0,28,32,30,26,0,home,-12.5,215.5,797.0,-1300.0,3.0,106.5,0.0,1,-12.5,12,-12,-0.5,0,1,away_cover,1,12.5,220,0.9285714285714286,0.11148272017837235,-0.8170887083930563
2019,2018-10-17,True,False,no,hou,131,112,35,36,30,30,0,29,25,30,28,0,home,-8.0,233.0,278.0,-345.0,9.5,114.0,0.0,1,-8.0,-19,19,-27.0,0,1,away_cover,1,8.0,243,0.7752808988764045,0.26455026455026454,-0.51073063432614
2019,2018-10-17,True,False,min,sa,108,112,23,29,31,25,0,31,25,25,31,0,home,-2.5,212.0,125.0,-145.0,0.5,105.0,1.0,1,-2.5,4,-4,1.5,1,0,home_cover,1,2.5,220,0.5918367346938775,0.4444444444444444,-0.14739229024943312
2019,2018-10-17,True,False,utah,sac,123,117,30,38,25,30,0,34,21,32,30,0,away,8.5,205.5,-400.0,317.0,1.5,106.0,0.0,1,8.5,-6,6,2.5,1,0,home_cover,0,8.5,240,0.23980815347721823,0.8,0.5601918465227818
