season,date,regular,playoffs,home,away,whos_favored,spread,home_code_clean,away_code_clean,home_abbr,away_abbr,GAME_ID,GAME_DATE,SEASON_LABEL,SEASON_TYPE,home_team_abbr,home_pts_x,home_reb,home_ast,home_fgm,home_fga_x,home_fg3m_x,home_fg3a_x,home_ftm,home_fta_x,home_tov_x,home_stl,home_blk,home_plus_minus,away_team_abbr,away_pts_x,away_reb,away_ast,away_fgm,away_fga_x,away_fg3m_x,away_fg3a_x,away_ftm,away_fta_x,away_tov_x,away_stl,away_blk,away_plus_minus,home_margin,home_pts_y,home_fga_y,home_fta_y,home_oreb,home_tov_y,home_fg3m_y,home_fg3a_y,away_pts_y,away_fga_y,away_fta_y,away_oreb,away_tov_y,away_fg3m_y,away_fg3a_y,score_home,score_away,spread_home,margin_home,home_win,away_win,ats_margin_home,ats_push,ats_home_cover,covered_home
2018,2017-10-17,True,False,cle,bos,home,-4.5,cle,bos,CLE,BOS,21700001.0,2017-10-17,2018.0,Regular Season,CLE,102.0,50.0,19.0,38.0,83.0,5.0,22.0,21.0,25.0,17.0,3.0,4.0,3.0,BOS,99.0,46.0,24.0,36.0,88.0,8.0,32.0,19.0,25.0,12.0,11.0,4.0,-3.0,3.0,,,,,,,,,,,,,,,102.0,99.0,-4.5,3.0,1,0,-1.5,0,0,0
2018,2017-10-17,True,False,gs,hou,home,-9.0,gs,hou,GSW,HOU,21700002.0,2017-10-17,2018.0,Regular Season,GSW,121.0,41.0,34.0,43.0,80.0,16.0,30.0,19.0,21.0,17.0,5.0,9.0,-1.0,HOU,122.0,43.0,28.0,47.0,97.0,15.0,41.0,13.0,19.0,13.0,9.0,5.0,1.0,-1.0,,,,,,,,,,,,,,,121.0,122.0,-9.0,-1.0,0,1,-10.0,0,0,0
2018,2017-10-18,True,False,ind,bkn,home,-3.0,ind,bkn,IND,BKN,21700004.0,2017-10-18,2018.0,Regular Season,IND,140.0,47.0,29.0,53.0,102.0,9.0,34.0,25.0,32.0,14.0,12.0,9.0,9.0,BKN,131.0,43.0,22.0,45.0,94.0,12.0,30.0,29.0,32.0,20.0,7.0,2.0,-9.0,9.0,,,,,,,,,,,,,,,140.0,131.0,-3.0,9.0,1,0,6.0,0,1,1
2018,2017-10-18,True,False,wsh,phi,home,-6.5,wsh,phi,WAS,PHI,21700006.0,2017-10-18,2018.0,Regular Season,WAS,120.0,52.0,21.0,42.0,97.0,6.0,22.0,30.0,38.0,10.0,8.0,10.0,5.0,PHI,115.0,48.0,25.0,43.0,93.0,15.0,35.0,14.0,19.0,17.0,6.0,6.0,-5.0,5.0,,,,,,,,,,,,,,,120.0,115.0,-6.5,5.0,1,0,-1.5,0,0,0
2018,2017-10-18,True,False,orl,mia,away,3.5,orl,mia,ORL,MIA,21700005.0,2017-10-18,2018.0,Regular Season,ORL,116.0,50.0,22.0,43.0,90.0,8.0,21.0,22.0,29.0,15.0,8.0,9.0,7.0,MIA,109.0,44.0,27.0,44.0,101.0,8.0,30.0,13.0,17.0,13.0,6.0,4.0,-7.0,7.0,,,,,,,,,,,,,,,116.0,109.0,3.5,7.0,1,0,10.5,0,1,1
2018,2017-10-18,True,False,det,cha,home,-2.5,det,cha,DET,CHA,21700003.0,2017-10-18,2018.0,Regular Season,DET,102.0,47.0,24.0,41.0,96.0,9.0,26.0,11.0,12.0,9.0,14.0,3.0,12.0,CHA,90.0,47.0,16.0,29.0,73.0,9.0,30.0,23.0,29.0,17.0,4.0,3.0,-12.0,12.0,,,,,,,,,,,,,,,102.0,90.0,-2.5,12.0,1,0,9.5,0,1,1
2018,2017-10-18,True,False,bos,mil,home,-1.5,bos,mil,BOS,MIL,21700007.0,2017-10-18,2018.0,Regular Season,BOS,100.0,43.0,23.0,39.0,91.0,11.0,28.0,11.0,21.0,15.0,12.0,2.0,-8.0,MIL,108.0,45.0,19.0,38.0,76.0,7.0,21.0,25.0,30.0,15.0,6.0,4.0,8.0,-8.0,,,,,,,,,,,,,,,100.0,108.0,-1.5,-8.0,0,1,-9.5,0,0,0
2018,2017-10-18,True,False,mem,no,home,-2.0,mem,no,MEM,NOP,21700008.0,2017-10-18,2018.0,Regular Season,MEM,103.0,45.0,19.0,39.0,92.0,9.0,29.0,16.0,28.0,12.0,9.0,8.0,12.0,NOP,91.0,51.0,15.0,30.0,79.0,7.0,25.0,24.0,29.0,18.0,4.0,12.0,-12.0,12.0,,,,,,,,,,,,,,,103.0,91.0,-2.0,12.0,1,0,10.0,0,1,1
2018,2017-10-18,True,False,dal,atl,home,-5.5,dal,atl,DAL,ATL,21700009.0,2017-10-18,2018.0,Regular Season,DAL,111.0,41.0,27.0,38.0,86.0,17.0,45.0,18.0,21.0,16.0,5.0,4.0,-6.0,ATL,117.0,50.0,20.0,48.0,94.0,9.0,18.0,12.0,15.0,13.0,11.0,6.0,6.0,-6.0,,,,,,,,,,,,,,,111.0,117.0,-5.5,-6.0,0,1,-11.5,0,0,0
2018,2017-10-18,True,False,utah,den,home,-2.5,utah,den,UTA,DEN,21700010.0,2017-10-18,2018.0,Regular Season,UTA,106.0,36.0,28.0,41.0,81.0,9.0,24.0,15.0,16.0,15.0,9.0,5.0,10.0,DEN,96.0,38.0,21.0,36.0,77.0,13.0,27.0,11.0,12.0,21.0,4.0,3.0,-10.0,10.0,,,,,,,,,,,,,,,106.0,96.0,-2.5,10.0,1,0,7.5,0,1,1
