season,date,regular,playoffs,away,home,score_away,score_home,q1_away,q2_away,q3_away,q4_away,ot_away,q1_home,q2_home,q3_home,q4_home,ot_home,whos_favored,spread,total,moneyline_away,moneyline_home,h2_spread,h2_total,id_spread,id_total,spread_home,margin_home,home_win,away_win,ats_result_raw,ats_home_cover,ats_label,is_home_favored,abs_spread,total_points_scored,abs_margin_home,p_home_ml,p_away_ml,p_home_edge_vs_ml,p_home_minus_away_ml,game_id,is_home_favorite,home_win_pct_before_game,home_recent_win_pct,home_rest,away_win_pct_before_game,away_recent_win_pct,away_rest,win_pct_diff_before_game,recent_win_pct_diff,rest_diff,dow,season_part,strata,split
2019,2018-10-22,True,False,ny,mil,113,124,29,23,35,26,0,33,38,17,36,0,home,-11.5,227.0,614.0,-900.0,1.0,110.5,0.0,1,-11.5,11,1,0,-0.5,0,away_cover,1,11.5,237,11,0.9,0.1400560224089636,0.0999999999999999,0.7599439775910364,39,1,1.0,1.0,3.0,0.3333333333333333,0.3333333333333333,2.0,0.6666666666666667,0.6666666666666667,1.0,0,early,2019_d0_pearly,test
2019,2018-10-22,True,False,orl,bos,93,90,28,20,27,18,0,19,26,25,20,0,home,-11.0,211.5,611.0,-894.0,9.5,104.5,0.0,0,-11.0,-3,0,1,-14.0,0,away_cover,1,11.0,183,3,0.8993963782696177,0.140646976090014,-0.8993963782696177,0.7587494021796036,40,1,0.6666666666666666,0.6666666666666666,2.0,0.3333333333333333,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.0,0,early,2019_d0_pearly,test
2019,2018-10-22,True,False,ind,min,91,101,28,21,24,18,0,25,25,22,29,0,home,-2.0,229.5,110.0,-130.0,1.0,112.0,1.0,0,-2.0,10,1,0,8.0,1,home_cover,1,2.0,192,10,0.5652173913043478,0.4761904761904761,0.4347826086956522,0.0890269151138716,41,1,0.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,2.0,-0.3333333333333333,-0.3333333333333333,0.0,0,early,2019_d0_pearly,test
2019,2018-10-22,True,False,sa,lal,143,142,40,25,34,29,15,26,34,36,32,14,home,-2.0,226.5,110.0,-130.0,2.5,116.5,0.0,1,-2.0,-1,0,1,-3.0,0,away_cover,1,2.0,285,1,0.5652173913043478,0.4761904761904761,-0.5652173913043478,0.0890269151138716,42,1,0.0,0.0,2.0,0.5,0.5,2.0,-0.5,-0.5,0.0,0,early,2019_d0_pearly,test
2019,2018-10-22,True,False,cha,tor,106,127,22,25,32,27,0,31,31,35,30,0,home,-8.5,225.0,317.0,-400.0,0.0,115.5,1.0,1,-8.5,21,1,0,12.5,1,home_cover,1,8.5,233,21,0.8,0.2398081534772182,0.1999999999999999,0.5601918465227818,43,1,1.0,1.0,2.0,0.6666666666666666,0.6666666666666666,2.0,0.3333333333333333,0.3333333333333333,0.0,0,early,2019_d0_pearly,test
2019,2018-10-22,True,False,mem,utah,92,84,19,28,23,22,0,22,24,17,21,0,home,-11.0,213.5,506.0,-700.0,8.0,105.0,0.0,0,-11.0,-8,0,1,-19.0,0,away_cover,1,11.0,176,8,0.875,0.165016501650165,-0.875,0.709983498349835,44,1,0.5,0.5,3.0,0.5,0.5,3.0,0.0,0.0,0.0,0,early,2019_d0_pearly,test
2019,2018-10-22,True,False,wsh,por,125,124,28,34,16,33,14,32,30,15,34,13,home,-4.5,228.0,160.0,-185.0,3.5,114.0,0.0,1,-4.5,-1,0,1,-5.5,0,away_cover,1,4.5,249,1,0.6491228070175439,0.3846153846153846,-0.6491228070175439,0.2645074224021592,45,1,1.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0,early,2019_d0_pearly,test
2019,2018-10-22,True,False,phx,gs,103,123,23,24,34,22,0,32,38,36,17,0,home,-12.5,227.5,797.0,-1300.0,1.5,111.0,1.0,0,-12.5,20,1,0,7.5,1,home_cover,1,12.5,226,20,0.9285714285714286,0.1114827201783723,0.0714285714285714,0.8170887083930563,46,1,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,2.0,0.1666666666666666,0.1666666666666666,-1.0,0,early,2019_d0_pearly,test
2019,2018-10-22,True,False,chi,dal,109,115,28,33,23,25,0,31,28,29,27,0,home,-5.0,229.0,170.0,-200.0,4.5,112.0,1.0,0,-5.0,6,1,0,1.0,1,home_cover,1,5.0,224,6,0.6666666666666666,0.3703703703703703,0.3333333333333333,0.2962962962962963,47,1,0.5,0.5,2.0,0.0,0.0,2.0,0.5,0.5,0.0,0,early,2019_d0_pearly,test
2019,2018-10-29,True,False,tor,mil,109,124,29,24,27,29,0,30,32,33,29,0,away,2.0,222.5,-130.0,110.0,4.0,110.0,0.0,1,2.0,15,1,0,17.0,1,home_cover,0,2.0,233,15,0.4761904761904761,0.5652173913043478,0.5238095238095238,-0.0890269151138716,86,0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,-1.0,0,early,2019_d0_pearly,test
